,5.85E+00,2.23E+01,3.98E-02,5.57E+00,2.62E+01,5.60E-02,5.57E+00,2.95E+01,6.24E-02,6.03E+00,2.33E+01,5.50E-02,2.91E-02,0.03870768,,,,,,,,,,,,,,,,,,,
,5.77E+00,2.29E+01,2.91E-02,5.85E+00,2.23E+01,3.98E-02,5.57E+00,2.62E+01,5.60E-02,5.57E+00,2.95E+01,6.24E-02,7.96E-02,0.081138771,,,,,,,,,,,,,,,,,,,
,5.81E+00,2.14E+01,7.96E-02,5.77E+00,2.29E+01,2.91E-02,5.85E+00,2.23E+01,3.98E-02,5.57E+00,2.62E+01,5.60E-02,5.63E-02,0.075433221,,,,,,,,,,,,,,,,,,,
,5.03E+00,6.30E+01,5.63E-02,5.81E+00,2.14E+01,7.96E-02,5.77E+00,2.29E+01,2.91E-02,5.85E+00,2.23E+01,3.98E-02,4.60E-02,0.051677912,,,,,,,,,,,,,,,,,,,
,5.46E+00,2.57E+01,4.60E-02,5.03E+00,6.30E+01,5.63E-02,5.81E+00,2.14E+01,7.96E-02,5.77E+00,2.29E+01,2.91E-02,6.29E-02,0.067971081,,,,,,,,,,,,,,,,,,,
,5.51E+00,2.63E+01,6.29E-02,5.46E+00,2.57E+01,4.60E-02,5.03E+00,6.30E+01,5.63E-02,5.81E+00,2.14E+01,7.96E-02,6.85E-02,0.068996352,,,,,,,,,,,,,,,,,,,
,5.51E+00,2.63E+01,6.85E-02,5.51E+00,2.63E+01,6.29E-02,5.46E+00,2.57E+01,4.60E-02,5.03E+00,6.30E+01,5.63E-02,3.18E-02,0.029870379,,,,,,,,,,,,,,,,,,,
,5.46E+00,2.79E+01,3.18E-02,5.51E+00,2.63E+01,6.85E-02,5.51E+00,2.63E+01,6.29E-02,5.46E+00,2.57E+01,4.60E-02,1.39E-01,0.125218275,,,,,,,,,,,,,,,,,,,
,5.57E+00,2.55E+01,1.39E-01,5.46E+00,2.79E+01,3.18E-02,5.51E+00,2.63E+01,6.85E-02,5.51E+00,2.63E+01,6.29E-02,1.21E-01,0.113776281,,,,,,,,,,,,,,,,,,,
,5.46E+00,2.71E+01,1.21E-01,5.57E+00,2.55E+01,1.39E-01,5.46E+00,2.79E+01,3.18E-02,5.51E+00,2.63E+01,6.85E-02,1.16E-01,0.022371566,1.50E-01,1.08E-01,0.19163092,,,,,,,,,,,,,,,,
